A,B,C,D,E,F
37,6,45,21,24,1
46,1,24,8,63,0
84,11,4,9,60,1
17,2,21,20,27,0
99,16,43,23,18,1
32,12,35,8,63,1
9,14,2,24,15,0
97,3,48,15,42,1
76,1,41,2,81,1
36,17,15,29,0,0
20,10,42,3,78,0
54,5,45,27,6,1
98,6,17,13,48,1
47,12,21,10,57,0
57,2,42,17,36,1
59,14,7,28,3,0
27,12,14,11,54,0
64,14,7,26,9,1
29,2,18,25,12,0
82,8,9,13,48,1
92,8,8,3,78,1
86,12,46,26,9,1
16,19,8,26,9,0
24,10,27,10,57,0
70,5,29,15,42,1
6,1,44,25,12,0
14,11,39,27,6,0
34,16,0,6,69,0
55,9,8,25,12,0
82,10,9,12,51,1
78,0,4,4,75,0
42,3,25,16,39,0
59,18,11,6,69,1
39,14,44,21,24,1
3,16,36,19,30,0
52,17,30,16,39,1
9,17,5,29,0,0
24,4,30,7,66,0
72,16,18,0,87,1
18,12,0,29,0,0
88,2,39,2,81,1
53,3,3,0,87,0
42,1,43,18,33,0
50,3,43,27,6,1
77,18,12,20,27,1
73,16,48,19,30,1
58,15,31,21,24,1
80,3,17,5,72,0
0,16,34,27,6,0
81,13,19,9,60,1
30,18,38,23,18,1
93,17,34,18,33,1
25,6,27,5,72,0
74,9,10,13,48,1
61,18,35,19,30,1
32,4,32,21,24,0
15,5,47,7,66,0
46,15,13,8,63,0
65,3,34,5,72,1
59,0,39,26,9,1
33,5,39,5,72,0
67,15,1,17,36,0
32,11,44,3,78,1
75,10,37,23,18,1
40,11,49,10,57,1
23,4,19,21,24,0
97,4,5,5,72,1
26,12,42,26,9,1
66,17,49,17,36,1
24,0,24,27,6,0
40,16,13,23,18,0
33,11,22,9,60,0
36,17,22,22,21,1
49,9,0,28,3,0
99,14,24,28,3,1
1,9,15,15,42,0
25,17,10,24,15,0
10,19,43,11,54,1
50,14,10,7,66,0
95,1,35,3,78,1
1,14,26,13,48,0
36,7,7,10,57,0
83,17,3,23,18,1
8,17,37,22,21,0
76,8,19,11,54,1
43,6,43,3,78,1
51,6,28,23,18,0
20,14,27,18,33,0
4,4,48,15,42,0
56,3,45,12,51,1
20,13,9,27,6,0
79,18,47,8,63,1
8,2,28,27,6,0
17,9,37,17,36,0
86,1,19,15,42,1
38,11,10,20,27,0
44,12,41,5,72,1
59,12,39,17,36,1
34,16,0,26,9,0
71,7,21,9,60,1
60,19,7,1,84,1
39,6,40,15,42,1
10,2,12,6,69,0
46,16,29,11,54,1
39,8,19,25,12,0
65,16,37,3,78,1
65,0,44,19,30,1
61,14,37,21,24,1
73,10,4,26,9,0
62,8,11,8,63,0
27,8,17,22,21,0
81,18,26,18,33,1
97,5,9,14,45,1
70,9,24,28,3,1
82,6,8,2,81,0
99,1,31,25,12,1
23,9,45,13,48,1
47,2,20,7,66,0
88,14,23,23,18,1
65,16,40,13,48,1
38,12,3,7,66,0
78,2,10,23,18,0
29,11,12,6,69,0
12,1,5,22,21,0
9,15,10,25,12,0
20,19,11,11,54,0
88,3,29,15,42,1
24,1,48,2,81,0
48,11,45,15,42,1
34,16,27,16,39,1
7,13,16,16,39,0
85,16,43,22,21,1
72,1,48,6,69,1
95,5,0,15,42,0
97,6,47,26,9,1
89,8,3,25,12,1
65,19,44,4,75,1
70,4,29,26,9,1
95,14,47,5,72,1
11,13,28,21,24,0
24,8,31,14,45,0
15,16,26,12,51,0
36,19,13,23,18,0
39,0,43,4,75,0
21,11,46,10,57,1
62,7,42,13,48,1
50,0,14,5,72,0
16,3,44,25,12,0
97,4,37,15,42,1
89,5,13,0,87,1
57,0,10,7,66,0
66,13,16,10,57,1
0,0,45,10,57,0
20,19,11,8,63,0
39,8,31,22,21,0
9,9,13,14,45,0
52,13,17,25,12,1
15,17,3,19,30,0
15,15,42,17,36,1
81,13,10,11,54,1
55,13,17,12,51,1
43,14,23,12,51,1
58,3,31,10,57,0
78,1,4,28,3,0
56,19,3,1,84,1
75,15,17,24,15,1
81,16,43,8,63,1
94,17,26,4,75,1
17,5,23,4,75,0
54,9,2,29,0,0
76,9,26,12,51,1
64,11,8,13,48,0
46,10,24,22,21,0
47,14,3,18,33,0
19,6,37,17,36,0
22,7,32,11,54,0
58,5,17,23,18,0
10,9,39,3,78,0
80,2,0,8,63,0
15,1,7,6,69,0
57,11,9,28,3,0
15,7,28,7,66,0
81,5,20,0,87,1
3,18,10,28,3,0
70,4,13,18,33,0
69,15,15,8,63,1
84,8,25,3,78,1
97,17,26,28,3,1
79,0,42,17,36,1
37,17,36,26,9,1
50,19,35,8,63,1
54,5,16,23,18,0
33,18,5,29,0,0
75,18,10,25,12,1
31,2,31,27,6,0
50,2,48,11,54,1
97,19,2,4,75,1
27,2,12,5,72,0
40,9,43,19,30,1
84,15,5,21,24,1
97,13,17,22,21,1
52,5,32,22,21,0
30,0,49,23,18,0
3,18,21,18,33,0
13,14,10,19,30,0
12,9,21,9,60,0
43,7,6,7,66,0
74,7,9,10,57,0
33,1,29,6,69,0
66,0,19,29,0,0
76,17,30,12,51,1
42,11,39,29,0,1
88,13,24,6,69,1
87,1,21,7,66,1
3,3,37,28,3,0
67,18,46,15,42,1
44,14,2,19,30,0
51,1,27,17,36,0
8,3,27,28,3,0
44,18,41,4,75,1
69,15,21,2,81,1
90,15,15,1,84,1
98,19,42,7,66,1
54,8,33,10,57,1
75,14,8,25,12,1
83,13,49,20,27,1
70,12,13,14,45,1
42,5,17,14,45,0
41,10,34,27,6,1
84,9,23,21,24,1
12,0,47,8,63,0
85,13,48,18,33,1
91,16,26,24,15,1
83,10,27,10,57,1
3,8,4,26,9,0
98,14,29,23,18,1
33,19,37,2,81,1
99,11,18,28,3,1
17,10,35,21,24,0
81,7,32,14,45,1
48,15,2,5,72,0
12,15,43,6,69,1
17,14,24,9,60,0
82,11,0,21,24,0
31,18,21,16,39,1
57,7,18,25,12,0
32,12,48,25,12,1
34,4,25,9,60,0
38,17,37,13,48,1
84,11,29,25,12,1
92,3,0,3,78,0
25,12,21,2,81,0
19,14,17,17,36,0
90,4,19,22,21,1
45,1,47,17,36,1
68,0,47,2,81,1
85,12,20,6,69,1
17,13,36,13,48,0
41,15,46,4,75,1
39,6,29,15,42,0
81,1,42,1,84,1
35,10,17,5,72,0
58,0,0,8,63,0
65,1,35,16,39,1
85,1,2,25,12,0
99,13,16,18,33,1
12,11,28,20,27,0
57,11,49,8,63,1
76,6,3,16,39,0
88,8,43,11,54,1
99,19,19,10,57,1
38,19,43,12,51,1
82,15,5,25,12,1
76,5,0,2,81,0
51,5,34,19,30,1
40,19,22,4,75,1
66,7,0,0,87,0
7,10,26,12,51,0
75,11,2,17,36,0
96,6,5,20,27,1
87,7,46,13,48,1
60,3,21,18,33,0
29,15,49,1,84,1
63,2,35,24,15,1
70,4,24,19,30,1
46,3,0,1,84,0
92,2,10,6,69,0
32,14,39,4,75,1
80,9,16,16,39,1
19,2,35,20,27,0
35,18,32,26,9,1
37,14,23,4,75,0
41,18,1,6,69,0
66,19,25,3,78,1
54,19,23,20,27,1
51,19,23,5,72,1
41,18,34,10,57,1
24,18,35,22,21,1
45,10,7,4,75,0
94,0,12,27,6,0
35,17,19,15,42,0
15,3,19,19,30,0
2,18,49,26,9,1
98,14,17,17,36,1
88,9,16,17,36,1
4,19,15,16,39,0
88,17,42,29,0,1
63,1,10,25,12,0
53,8,2,13,48,0
63,12,32,28,3,1
43,9,44,4,75,1
41,6,26,15,42,0
67,2,38,28,3,1
11,3,5,7,66,0
25,12,15,13,48,0
78,6,22,11,54,1
53,3,32,12,51,0
34,17,34,28,3,1
44,18,26,16,39,1
53,7,9,6,69,0
71,8,40,8,63,1
28,1,13,2,81,0
30,11,41,27,6,1
65,3,7,7,66,0
54,5,23,26,9,0
40,15,32,1,84,1
20,14,47,0,87,1
18,11,33,23,18,0
49,15,24,11,54,1
28,6,22,26,9,0
11,13,26,8,63,0
17,3,31,7,66,0
34,11,33,23,18,1
65,18,32,17,36,1
14,0,28,20,27,0
48,7,36,2,81,1
30,18,15,21,24,0
13,2,21,19,30,0
81,5,43,26,9,1
84,5,4,21,24,0
61,0,19,8,63,0
78,10,19,7,66,1
18,7,43,19,30,0
1,1,19,29,0,0
89,6,24,25,12,1
16,16,36,4,75,1
79,9,26,28,3,1
29,6,47,16,39,1
97,0,4,5,72,0
64,11,32,5,72,1
81,1,24,25,12,1
56,10,19,21,24,0
67,6,2,18,33,0
94,0,37,23,18,1
72,14,15,24,15,1
5,7,1,26,9,0
0,7,49,18,33,0
14,1,20,11,54,0
95,15,35,7,66,1
98,15,8,11,54,1
39,7,1,29,0,0
62,14,2,1,84,0
21,2,41,13,48,0
45,10,26,18,33,0
46,11,7,15,42,0
63,2,4,6,69,0
68,8,22,12,51,1
50,2,23,9,60,0
0,0,24,27,6,0
63,5,30,14,45,1
93,5,21,14,45,1
77,3,12,9,60,0
67,12,23,4,75,1
94,2,46,2,81,1
3,9,1,2,81,0
21,16,9,29,0,0
52,10,31,22,21,1
13,15,36,14,45,0
20,14,6,10,57,0
62,6,10,6,69,0
92,3,29,24,15,1
42,19,18,3,78,1
56,2,33,14,45,0
62,16,46,29,0,1
24,1,39,12,51,0
77,2,46,19,30,1
52,7,26,11,54,0
71,1,32,10,57,1
45,17,22,6,69,1
28,18,23,1,84,1
65,13,30,19,30,1
19,4,3,1,84,0
18,13,34,4,75,0
69,12,27,25,12,1
39,10,14,10,57,0
47,18,31,4,75,1
39,4,47,12,51,1
37,0,17,5,72,0
34,8,3,23,18,0
41,19,30,3,78,1
60,15,4,8,63,0
60,3,27,14,45,0
17,15,12,6,69,0
58,13,36,14,45,1
17,4,13,22,21,0
23,17,1,4,75,0
99,5,25,17,36,1
21,16,30,18,33,0
31,5,46,20,27,0
28,11,30,17,36,0
75,1,5,9,60,0
41,5,4,18,33,0
65,15,29,28,3,1
18,2,1,4,75,0
29,17,44,29,0,1
86,16,49,16,39,1
0,11,37,3,78,0
27,16,33,15,42,1
81,9,27,16,39,1
65,13,6,1,84,0
82,9,7,12,51,1
12,3,25,9,60,0
66,3,22,27,6,0
57,9,14,0,87,0
97,1,7,6,69,0
46,19,13,4,75,1
90,9,32,25,12,1
62,16,43,12,51,1
82,11,10,21,24,1
24,5,38,22,21,0
13,3,40,7,66,0
67,0,42,19,30,1
24,14,26,20,27,0
56,16,19,16,39,1
83,10,49,13,48,1
3,11,3,0,87,0
36,16,31,8,63,1
82,8,4,5,72,0
16,8,4,27,6,0
99,8,3,24,15,1
49,2,35,7,66,0
42,4,19,17,36,0
19,17,21,9,60,0
53,2,38,9,60,1
28,3,25,4,75,0
39,0,16,19,30,0
91,10,27,5,72,1
41,7,14,7,66,0
53,14,2,12,51,0
4,9,29,4,75,0
74,13,28,18,33,1
57,13,43,4,75,1
32,14,6,14,45,0
19,4,21,7,66,0
78,19,19,12,51,1
9,0,40,9,60,0
65,16,29,1,84,1
66,5,33,5,72,1
24,8,21,1,84,0
35,19,8,5,72,0
64,0,33,8,63,0
66,0,8,22,21,0
80,9,24,21,24,1
89,12,6,18,33,1
38,6,25,21,24,0
12,11,0,1,84,0
7,9,41,13,48,0
32,11,44,10,57,1
52,13,8,15,42,0
84,9,8,7,66,1
52,16,9,16,39,0
55,2,40,5,72,1
19,9,47,15,42,1
93,6,12,21,24,1
56,18,20,2,81,1
52,15,37,28,3,1
68,5,24,20,27,1
66,12,32,10,57,1
14,10,0,10,57,0
70,18,15,16,39,1
12,14,38,25,12,0
32,9,42,2,81,1
39,12,47,21,24,1
50,0,4,8,63,0
11,9,33,21,24,0
84,10,16,24,15,1
74,18,35,11,54,1
60,17,39,29,0,1
68,13,47,2,81,1
41,4,29,19,30,0
28,0,7,9,60,0
80,7,9,21,24,0
88,18,29,15,42,1
10,4,46,29,0,0
23,18,37,16,39,1
33,0,19,15,42,0
6,4,16,26,9,0
85,0,14,11,54,0
21,9,17,18,33,0
43,1,6,17,36,0
0,8,3,15,42,0
73,6,14,19,30,0
79,15,46,19,30,1
49,17,4,15,42,0
49,6,18,10,57,0
28,9,35,4,75,0
40,2,2,10,57,0
8,16,33,23,18,0
54,9,24,20,27,1
45,14,44,13,48,1
62,14,25,11,54,1
9,7,49,15,42,0
10,1,9,13,48,0
25,18,30,1,84,1
39,16,6,15,42,0
58,18,21,16,39,1
49,11,37,17,36,1
8,11,25,28,3,0
39,14,8,11,54,0
69,2,0,28,3,0
43,19,48,21,24,1
59,17,30,15,42,1
7,11,0,3,78,0
4,16,21,17,36,0
10,19,34,17,36,1
62,5,19,24,15,0
82,1,46,4,75,1
93,12,18,1,84,1
64,14,39,7,66,1
61,7,27,2,81,1
43,2,7,24,15,0
15,15,10,20,27,0
74,18,39,29,0,1
1,8,46,6,69,0
38,17,20,7,66,1
77,7,13,7,66,1
20,13,39,13,48,1
41,11,45,10,57,1
73,5,9,15,42,0
86,13,49,8,63,1
61,8,25,5,72,1
6,17,19,15,42,0
78,15,37,1,84,1
30,9,18,14,45,0
98,16,3,16,39,1
91,4,26,0,87,1
65,12,36,14,45,1
67,12,27,16,39,1
22,0,46,12,51,0
93,5,29,12,51,1
80,16,28,16,39,1
1,12,25,3,78,0
9,14,38,10,57,0
28,4,13,16,39,0
42,1,22,2,81,0
8,0,23,3,78,0
8,3,31,24,15,0
96,17,33,14,45,1
11,8,27,18,33,0
41,11,10,3,78,0
88,11,47,2,81,1
33,17,7,23,18,0
58,1,21,24,15,0
6,8,16,24,15,0
64,3,33,21,24,1
46,15,29,20,27,1
20,1,28,6,69,0
32,7,29,23,18,0
23,13,16,21,24,0
5,14,27,16,39,0
57,18,11,23,18,1
30,4,26,3,78,0
40,8,31,18,33,0
27,15,47,16,39,1
76,4,41,21,24,1
26,17,40,10,57,1
64,0,5,4,75,0
76,19,32,16,39,1
5,14,37,23,18,0
25,10,8,17,36,0
17,8,4,26,9,0
50,3,31,3,78,0
74,6,6,24,15,0
50,1,16,0,87,0
58,6,35,27,6,1
59,11,4,0,87,0
65,11,49,13,48,1
23,7,15,15,42,0
72,18,0,5,72,1
16,6,35,24,15,0
38,0,15,19,30,0
25,13,37,23,18,1
82,15,6,0,87,1
55,1,12,29,0,0
49,11,19,24,15,0
20,11,11,4,75,0
26,6,4,13,48,0
41,19,29,16,39,1
49,4,35,16,39,0
41,16,47,14,45,1
88,7,33,6,69,1
97,6,6,1,84,1
64,3,21,12,51,0
53,13,45,5,72,1
17,6,43,5,72,0
18,13,41,0,87,1
57,15,7,5,72,0
95,19,25,22,21,1
62,13,19,15,42,1
33,5,32,29,0,0
75,3,25,9,60,1
14,5,39,13,48,0
69,17,40,18,33,1
5,12,11,14,45,0
77,12,25,16,39,1
23,8,21,27,6,0
91,11,39,3,78,1
8,16,3,20,27,0
27,9,42,17,36,1
20,2,23,7,66,0
92,3,23,25,12,1
7,8,44,13,48,0
70,2,17,25,12,0
86,11,27,2,81,1
21,2,14,23,18,0
25,5,23,3,78,0
82,7,18,5,72,1
94,19,8,12,51,1
73,17,35,22,21,1
44,2,1,29,0,0
5,9,38,15,42,0
95,4,44,7,66,1
96,7,15,6,69,1
78,0,1,19,30,0
59,4,23,9,60,0
66,4,30,1,84,1
97,2,44,7,66,1
46,16,10,11,54,0
18,19,12,27,6,0
20,14,23,23,18,0
91,15,10,24,15,1
32,7,28,22,21,0
69,4,17,9,60,0
48,19,40,21,24,1
88,18,47,16,39,1
19,16,43,6,69,1
61,1,9,27,6,0
14,12,16,23,18,0
0,7,23,4,75,0
83,10,23,9,60,1
49,11,30,13,48,1
39,4,20,0,87,0
11,9,46,7,66,0
89,17,17,9,60,1
81,2,23,17,36,1
9,2,42,11,54,0
4,1,35,21,24,0
77,0,3,23,18,0
82,9,46,8,63,1
36,12,1,22,21,0
68,18,40,28,3,1
91,6,45,18,33,1
7,12,6,14,45,0
78,19,23,29,0,1
41,8,47,19,30,1
92,10,17,29,0,1
5,17,47,12,51,1
59,10,28,25,12,1
45,5,7,5,72,0
38,7,29,18,33,0
79,14,10,9,60,1
65,10,40,5,72,1
3,19,38,10,57,1
24,2,22,17,36,0
12,12,29,10,57,0
7,15,25,8,63,0
15,5,47,27,6,0
0,16,43,9,60,0
95,5,37,18,33,1
68,1,49,5,72,1
59,7,9,20,27,0
48,5,40,24,15,1
84,6,37,5,72,1
61,17,0,9,60,0
7,5,1,7,66,0
74,17,17,6,69,1
59,13,39,18,33,1
48,10,47,8,63,1
93,13,20,4,75,1
51,19,22,28,3,1
56,19,11,25,12,1
8,19,19,18,33,0
60,2,19,28,3,0
49,17,37,9,60,1
33,16,31,3,78,1
51,6,29,26,9,0
3,13,45,29,0,0
68,6,36,24,15,1
30,14,0,27,6,0
60,15,24,14,45,1
4,15,1,8,63,0
95,2,26,15,42,1
65,13,31,1,84,1
57,0,10,12,51,0
7,14,16,25,12,0
95,9,47,25,12,1
56,11,8,11,54,0
78,18,13,1,84,1
30,16,5,25,12,0
97,19,7,1,84,1
82,17,22,1,84,1
37,18,45,22,21,1
13,13,15,12,51,0
57,15,8,20,27,0
15,12,24,10,57,0
27,11,38,14,45,1
8,5,45,1,84,0
32,16,9,16,39,0
8,3,42,26,9,0
95,13,31,23,18,1
31,7,16,0,87,0
24,5,26,3,78,0
7,2,2,25,12,0
78,10,17,16,39,1
69,9,8,29,0,0
85,13,47,6,69,1
49,15,23,10,57,1
44,1,49,2,81,1
46,10,19,19,30,0
39,18,10,20,27,0
56,18,9,19,30,1
2,6,44,3,78,0
82,15,33,2,81,1
66,0,42,19,30,1
68,16,29,1,84,1
10,1,17,24,15,0
43,10,2,29,0,0
1,3,8,16,39,0
4,9,26,20,27,0
73,12,36,3,78,1
51,4,26,22,21,0
98,2,49,0,87,1
75,17,0,3,78,1
55,19,3,16,39,1
16,15,2,1,84,0
29,1,36,4,75,0
45,1,42,21,24,0
28,0,40,22,21,0
42,1,37,1,84,0
96,4,30,27,6,1
15,5,19,7,66,0
37,16,45,29,0,1
65,0,6,16,39,0
7,5,29,28,3,0
57,2,29,13,48,0
26,13,37,20,27,1
60,16,36,2,81,1
51,12,20,0,87,1
80,8,3,11,54,0
67,12,22,20,27,1
37,11,13,18,33,0
73,0,3,5,72,0
39,11,13,8,63,0
23,0,8,8,63,0
16,16,11,11,54,0
21,8,40,28,3,0
93,19,39,24,15,1
95,6,32,19,30,1
11,19,29,28,3,0
98,17,26,6,69,1
67,5,25,8,63,1
83,18,10,29,0,1
34,2,34,2,81,0
1,11,36,12,51,0
40,11,43,3,78,1
96,5,1,13,48,0
38,5,25,17,36,0
88,17,1,27,6,1
90,3,23,11,54,1
15,12,11,26,9,0
59,3,36,27,6,1
51,0,18,26,9,0
49,5,41,15,42,1
79,4,23,11,54,1
80,18,28,3,78,1
56,8,7,27,6,0
69,15,3,4,75,1
39,5,29,6,69,0
51,3,7,17,36,0
32,15,4,26,9,0
25,1,33,12,51,0
92,8,14,29,0,1
10,17,22,24,15,0
33,16,15,12,51,0
41,0,28,13,48,0
72,3,5,5,72,0
9,3,9,23,18,0
20,12,14,14,45,0
31,6,3,11,54,0
73,13,30,6,69,1
10,16,13,25,12,0
50,0,26,13,48,0
25,7,5,9,60,0
40,7,22,7,66,0
51,5,45,24,15,1
86,19,31,5,72,1
15,9,22,8,63,0
79,12,44,2,81,1
32,6,35,12,51,0
48,4,44,5,72,1
51,19,15,18,33,1
68,5,11,18,33,0
3,17,9,6,69,0
1,14,17,15,42,0
75,19,48,22,21,1
3,10,12,11,54,0
59,7,48,16,39,1
52,0,9,14,45,0
55,3,25,7,66,0
50,8,23,19,30,0
80,12,34,10,57,1
76,2,46,28,3,1
37,16,14,28,3,0
14,7,23,28,3,0
44,17,37,23,18,1
43,7,0,13,48,0
1,8,6,0,87,0
73,10,21,16,39,1
82,0,35,24,15,1
1,14,39,28,3,0
44,19,19,10,57,1
46,9,2,25,12,0
40,5,34,29,0,0
33,8,35,13,48,0
35,12,40,11,54,1
20,15,37,10,57,1
62,1,35,22,21,1
16,6,46,16,39,0
24,9,8,7,66,0
33,0,22,18,33,0
70,11,34,9,60,1
94,11,44,25,12,1
60,9,6,23,18,0
10,14,39,16,39,0
54,3,9,27,6,0
38,17,0,0,87,0
20,2,40,26,9,0
63,9,27,4,75,1
85,5,23,17,36,1
2,6,38,19,30,0
86,15,40,21,24,1
71,11,44,25,12,1
37,16,0,3,78,0
1,12,8,10,57,0
51,2,42,0,87,1
66,2,23,3,78,0
43,14,20,17,36,0
17,13,5,23,18,0
37,11,12,4,75,0
20,11,14,27,6,0
61,18,0,20,27,0
61,3,2,10,57,0
98,8,47,21,24,1
26,2,22,21,24,0
6,7,8,5,72,0
45,5,7,14,45,0
60,10,24,10,57,1
35,18,34,26,9,1
17,6,27,11,54,0
2,17,48,12,51,1
93,4,16,13,48,1
65,18,27,15,42,1
40,16,42,11,54,1
31,2,25,29,0,0
5,8,7,18,33,0
55,15,12,1,84,1
76,3,31,13,48,1
16,11,29,29,0,0
23,5,14,18,33,0
74,3,40,27,6,1
99,2,31,2,81,1
91,12,45,21,24,1
10,15,36,28,3,0
82,8,0,22,21,0
72,5,47,13,48,1
29,3,40,8,63,0
73,13,14,13,48,1
48,3,38,23,18,0
32,19,1,7,66,0
0,5,30,12,51,0
63,7,39,0,87,1
54,3,43,13,48,1
82,0,16,0,87,0
68,14,11,24,15,1
98,17,26,27,6,1
38,3,25,16,39,0
16,15,1,9,60,0
13,1,3,3,78,0
81,16,15,16,39,1
50,4,49,26,9,1
56,15,6,16,39,0
25,1,32,5,72,0
32,3,19,24,15,0
91,13,2,21,24,1
3,7,28,19,30,0
36,5,41,18,33,0
25,8,49,29,0,1
64,8,33,14,45,1
80,3,16,26,9,0
80,19,49,13,48,1
13,19,12,10,57,0
2,3,7,24,15,0
76,3,16,2,81,0
43,8,27,5,72,0
60,2,43,3,78,1
47,5,1,7,66,0
29,6,26,21,24,0
97,15,24,29,0,1
79,18,35,8,63,1
80,9,18,3,78,1
40,12,18,7,66,0
25,3,27,14,45,0
11,7,39,17,36,0
99,17,14,1,84,1
36,8,14,13,48,0
36,6,1,1,84,0
19,14,1,24,15,0
21,5,8,17,36,0
85,11,49,25,12,1
52,8,29,9,60,1
32,9,27,5,72,0
75,19,42,4,75,1
80,17,17,28,3,1
54,18,21,14,45,1
64,2,0,4,75,0
43,8,36,16,39,1
59,9,11,0,87,0
98,16,25,6,69,1
77,13,9,26,9,1
34,10,24,10,57,0
24,1,25,5,72,0
6,10,44,29,0,0
60,0,1,21,24,0
28,4,49,28,3,0
44,5,39,11,54,1
6,1,42,16,39,0
97,16,0,2,81,1
82,15,26,8,63,1
72,17,18,13,48,1
81,2,25,14,45,1
28,4,42,14,45,0
83,18,8,16,39,1
8,19,16,3,78,0
85,10,29,19,30,1
3,8,27,27,6,0
60,9,0,28,3,0
35,12,31,27,6,1
36,3,34,12,51,0
86,6,46,14,45,1
41,16,32,24,15,1
4,3,6,27,6,0
5,2,22,22,21,0
91,5,14,8,63,1
78,18,45,7,66,1
73,12,1,12,51,0
1,17,43,19,30,1
5,0,14,26,9,0
70,4,48,7,66,1
53,5,12,16,39,0
94,5,44,23,18,1
44,5,41,27,6,1
42,5,43,22,21,1
64,0,38,23,18,1
21,4,20,16,39,0
27,14,22,12,51,0
4,1,37,11,54,0
99,10,17,17,36,1
87,15,11,4,75,1
81,8,8,29,0,1
81,18,10,13,48,1
77,18,4,24,15,1
84,17,0,27,6,1
31,2,27,19,30,0
40,11,24,17,36,0
42,15,18,26,9,0
64,3,23,0,87,0
29,0,1,14,45,0
26,9,45,14,45,1
87,4,31,29,0,1
81,5,4,25,12,0
80,18,43,12,51,1
64,2,43,19,30,1
99,15,27,3,78,1
52,13,41,17,36,1
8,16,22,10,57,0
34,16,37,7,66,1
61,8,27,12,51,1
29,8,18,27,6,0
17,8,49,12,51,0
38,16,28,1,84,1
56,2,7,16,39,0
0,19,21,19,30,0
98,10,20,0,87,1
20,8,6,7,66,0
76,8,28,11,54,1
16,15,16,2,81,0
38,9,22,2,81,0
64,5,20,7,66,0
38,15,33,17,36,1
84,1,32,14,45,1
23,9,37,3,78,0
40,18,42,19,30,1
45,18,4,22,21,0
2,15,49,13,48,1
35,5,23,28,3,0
19,19,47,9,60,1
51,19,20,26,9,1
51,16,4,19,30,0
36,1,42,3,78,0
44,5,30,29,0,0
53,9,49,15,42,1
72,2,15,2,81,0
99,9,21,7,66,1
21,10,44,23,18,1
7,4,13,9,60,0
20,8,45,0,87,0
11,18,22,29,0,0
32,12,16,7,66,0
46,16,9,18,33,0
76,19,17,1,84,1
75,10,45,29,0,1
62,5,35,29,0,1
48,6,29,7,66,0
47,6,36,7,66,1
22,13,28,18,33,0
64,3,13,24,15,0
53,2,18,24,15,0
10,4,30,5,72,0
9,2,13,16,39,0
1,13,49,22,21,0
58,6,36,6,69,1
80,12,38,2,81,1
53,19,43,5,72,1
98,14,15,12,51,1
64,2,6,23,18,0
61,3,4,6,69,0
25,12,31,27,6,0
79,13,8,4,75,1
75,4,8,14,45,0
20,5,45,27,6,0
17,12,9,5,72,0
3,0,12,15,42,0
61,3,4,14,45,0
47,2,46,0,87,1
13,6,30,6,69,0
33,7,18,16,39,0
9,0,49,22,21,0
61,2,18,16,39,0
52,7,46,29,0,1
99,17,47,2,81,1
42,13,8,19,30,0
87,18,4,5,72,1
89,6,47,15,42,1
38,3,7,18,33,0
99,18,20,0,87,1
14,1,25,21,24,0
85,11,15,22,21,1
51,7,27,17,36,0
28,0,3,6,69,0
95,2,39,26,9,1
93,13,29,20,27,1
28,17,5,28,3,0
60,1,33,11,54,0
23,4,13,1,84,0
72,17,32,23,18,1
79,13,15,22,21,1
91,7,27,1,84,1
26,10,20,19,30,0
23,1,43,18,33,0
38,13,0,18,33,0
53,16,44,3,78,1
60,15,38,16,39,1
55,10,40,13,48,1
76,16,29,7,66,1
19,12,43,26,9,1
21,3,17,18,33,0
96,13,3,2,81,1
65,17,33,21,24,1
91,5,18,25,12,1
10,18,15,17,36,0
59,3,18,28,3,0
60,19,28,3,78,1
61,6,7,10,57,0
72,13,3,2,81,1
62,13,19,1,84,1
98,5,43,18,33,1
62,10,31,28,3,1
46,18,27,17,36,1
43,5,25,2,81,0
76,6,47,9,60,1
71,19,7,23,18,1
43,14,14,27,6,0
42,7,25,17,36,0
21,16,12,8,63,0
86,8,10,0,87,1
9,13,2,2,81,0
59,9,20,15,42,1
51,13,15,8,63,0
6,17,41,29,0,1
52,7,26,3,78,0
78,8,47,29,0,1
51,3,17,13,48,0
6,14,45,21,24,1
26,17,14,13,48,0
28,9,24,1,84,0
18,18,19,17,36,0
60,11,0,11,54,0
35,16,35,27,6,1
65,16,44,3,78,1
28,18,32,13,48,1
65,12,15,16,39,1
60,4,18,11,54,0
76,10,32,16,39,1
98,14,19,13,48,1
22,19,24,4,75,0
1,0,38,22,21,0
36,14,24,27,6,0
11,6,21,28,3,0
29,15,2,25,12,0
28,5,48,21,24,0
10,10,28,5,72,0
2,1,36,16,39,0
96,9,44,9,60,1
23,0,29,13,48,0
55,1,21,20,27,0
66,17,13,17,36,1
86,16,14,16,39,1
77,13,45,2,81,1
18,9,28,10,57,0
10,10,8,25,12,0
35,11,48,28,3,1
85,11,4,25,12,1
75,2,8,13,48,0
19,13,24,8,63,0
62,9,47,16,39,1
45,14,13,19,30,0
44,14,35,25,12,1
14,2,47,15,42,0
65,7,48,6,69,1
40,2,12,26,9,0
30,1,8,13,48,0
68,1,15,11,54,0
80,13,37,7,66,1
41,13,41,15,42,1
65,3,30,21,24,1
28,18,20,2,81,0
13,12,36,10,57,0
49,8,32,1,84,1
9,0,2,16,39,0
92,18,48,23,18,1
53,12,43,27,6,1
99,5,7,8,63,1
60,7,16,21,24,0
67,10,42,9,60,1
42,10,7,1,84,0
